src,dst
0,1
0,2
0,129
0,174
0,288
0,424
1,3
1,21
1,52
1,54
1,68
1,137
1,276
1,293
1,482
1,640
1,654
1,848
1,924
1,937
2,3
2,4
2,13
2,14
2,20
2,25
2,34
2,55
2,70
2,88
2,102
2,126
2,140
2,150
2,197
2,220
2,260
2,347
2,366
2,369
2,402
2,489
2,563
2,603
2,609
2,719
2,739
2,772
2,785
2,788
2,797
2,834
2,868
2,876
2,920
2,964
2,991
2,997
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,13
3,23
3,30
3,31
3,39
3,40
3,59
3,62
3,63
3,64
3,65
3,74
3,77
3,80
3,111
3,114
3,118
3,142
3,146
3,174
3,176
3,209
3,225
3,241
3,243
3,250
3,283
3,288
3,310
3,321
3,325
3,350
3,368
3,381
3,384
3,397
3,425
3,428
3,458
3,484
3,489
3,534
3,537
3,576
3,590
3,628
3,631
3,698
3,702
3,720
3,745
3,782
3,805
3,824
3,877
3,881
3,883
3,945
3,958
3,971
3,988
3,998
4,5
4,8
4,10
4,15
4,17
4,19
4,20
4,32
4,44
4,53
4,62
4,91
4,94
4,118
4,135
4,138
4,144
4,148
4,170
4,194
4,228
4,238
4,277
4,287
4,349
4,418
4,431
4,443
4,494
4,517
4,643
4,677
4,809
4,855
4,909
4,971
4,982
5,6
5,7
5,12
5,14
5,22
5,29
5,36
5,46
5,47
5,54
5,69
5,83
5,129
5,153
5,199
5,205
5,221
5,230
5,266
5,299
5,333
5,366
5,387
5,403
5,449
5,456
5,464
5,536
5,566
5,597
5,616
5,634
5,667
5,721
5,749
5,826
5,871
5,876
5,923
5,938
5,940
5,963
6,66
6,104
6,156
6,165
6,175
6,187
6,200
6,235
6,239
6,267
6,297
6,328
6,338
6,358
6,385
6,473
6,528
6,653
6,741
6,747
6,780
6,806
6,858
6,865
7,9
7,11
7,18
7,21
7,26
7,28
7,29
7,32
7,37
7,41
7,57
7,58
7,63
7,66
7,71
7,78
7,86
7,107
7,115
7,120
7,124
7,130
7,132
7,133
7,141
7,149
7,178
7,185
7,189
7,205
7,215
7,227
7,231
7,259
7,276
7,285
7,291
7,327
7,370
7,379
7,389
7,437
7,439
7,471
7,472
7,483
7,487
7,490
7,496
7,545
7,556
7,584
7,610
7,635
7,645
7,662
7,682
7,757
7,768
7,771
7,787
7,789
7,798
7,834
7,896
7,904
7,944
7,985
8,17
8,86
8,157
8,189
8,369
8,371
8,426
8,447
8,602
8,654
8,928
8,952
9,16
9,24
9,26
9,52
9,55
9,56
9,101
9,106
9,112
9,114
9,184
9,192
9,303
9,402
9,569
9,696
9,789
10,11
10,12
10,15
10,18
10,38
10,46
10,53
10,76
10,82
10,87
10,95
10,151
10,159
10,160
10,191
10,206
10,235
10,237
10,271
10,289
10,304
10,313
10,324
10,355
10,365
10,414
10,438
10,444
10,503
10,505
10,510
10,550
10,572
10,735
10,783
10,801
10,830
10,832
10,848
10,890
10,894
10,903
10,940
10,942
11,23
11,40
11,48
11,81
11,83
11,90
11,101
11,107
11,179
11,256
11,335
11,373
11,436
11,535
11,695
11,862
11,872
11,915
11,967
12,677
13,24
13,27
13,49
13,75
13,87
13,112
13,113
13,128
13,293
13,300
13,318
13,376
13,506
13,509
13,567
13,621
13,658
13,723
13,773
13,825
13,831
13,835
14,16
14,19
14,25
14,27
14,35
14,45
14,47
14,51
14,84
14,128
14,181
14,198
14,434
14,514
14,839
14,861
14,970
15,30
15,31
15,33
15,43
15,69
15,85
15,92
15,96
15,100
15,117
15,120
15,158
15,172
15,204
15,214
15,255
15,264
15,282
15,303
15,304
15,309
15,318
15,326
15,337
15,380
15,393
15,399
15,410
15,446
15,450
15,474
15,477
15,478
15,494
15,503
15,511
15,527
15,571
15,592
15,593
15,605
15,661
15,718
15,734
15,736
15,764
15,771
15,787
15,864
15,868
15,893
15,906
15,907
15,953
16,65
16,203
17,42
17,71
17,217
17,233
17,248
17,374
17,393
17,401
17,504
17,892
18,22
18,33
18,38
18,58
18,64
18,73
18,115
18,190
18,196
18,219
18,299
18,302
18,353
18,368
18,417
18,430
18,455
18,475
18,493
18,567
18,575
18,742
18,758
18,999
19,111
19,139
19,159
19,164
19,232
19,388
19,391
19,585
19,978
20,50
20,121
20,176
20,781
21,171
22,96
22,150
22,163
22,229
22,342
22,398
23,39
23,152
23,193
23,394
23,406
23,419
23,463
23,531
23,927
24,34
24,320
25,99
25,173
25,274
25,286
25,337
25,441
25,452
25,542
25,563
25,636
25,637
25,675
25,740
25,802
25,939
25,968
26,125
26,138
26,186
26,188
26,236
26,240
26,247
26,359
26,590
26,593
26,608
26,671
26,927
27,28
27,35
27,67
27,79
27,133
27,136
27,594
28,51
28,98
28,135
28,207
28,340
28,403
28,427
28,455
28,552
28,704
28,845
29,45
29,57
29,59
29,73
29,94
29,121
29,126
29,204
29,481
29,524
29,553
29,619
29,688
29,706
29,733
29,818
29,884
30,280
30,434
31,36
31,43
31,170
31,306
31,476
31,507
31,587
31,844
31,869
32,117
32,158
32,208
32,409
32,445
32,653
32,996
33,74
33,89
33,104
33,164
33,322
33,345
33,356
33,361
33,449
33,452
33,486
33,511
33,537
33,615
33,692
33,728
33,846
33,852
33,979
34,37
34,61
34,67
34,91
34,97
34,263
34,272
34,290
34,291
34,321
34,334
34,426
34,540
34,741
34,765
34,791
34,821
34,934
34,955
35,41
35,110
35,162
35,188
35,210
35,353
35,719
35,754
35,851
35,878
35,916
36,56
36,116
36,127
36,167
36,270
36,574
37,253
37,354
37,429
37,442
37,568
37,917
38,42
38,48
38,49
38,72
38,88
38,99
38,103
38,106
38,123
38,130
38,166
38,182
38,198
38,214
38,218
38,241
38,275
38,459
38,463
38,519
38,551
38,558
38,583
38,584
38,689
38,691
38,693
38,756
38,851
38,895
39,76
39,161
39,190
40,44
40,60
40,119
40,143
40,147
40,173
40,197
40,242
40,244
40,262
40,275
40,332
40,350
40,364
40,389
40,523
40,573
40,821
41,77
41,105
41,142
41,165
41,272
41,344
41,470
41,694
41,849
41,941
42,50
42,68
42,90
42,93
42,221
42,226
42,263
42,316
42,413
42,509
42,529
42,642
43,339
43,500
43,595
43,715
43,761
43,942
44,807
45,109
45,548
45,809
45,889
45,994
46,469
46,481
46,700
47,60
47,157
47,284
47,342
47,635
47,710
47,817
48,427
48,448
49,103
49,171
49,362
49,641
49,668
49,775
49,992
50,79
50,93
50,172
50,237
50,251
50,257
50,300
50,305
50,477
50,580
50,613
50,638
50,665
50,671
50,699
50,700
50,917
50,986
51,146
51,178
51,259
51,265
51,390
51,507
51,596
51,620
51,784
51,929
52,762
53,549
54,81
54,105
54,136
54,185
54,201
54,483
54,618
54,726
54,754
54,819
55,89
55,161
55,506
55,800
55,908
56,131
56,207
56,213
56,569
56,660
56,825
57,110
57,234
57,249
57,441
57,465
57,491
57,740
57,872
57,885
58,224
58,734
58,900
59,61
59,72
59,78
59,95
59,137
59,220
59,743
59,816
59,889
59,957
59,958
59,982
60,145
60,269
